City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Southbridge,US,42.0751,-72.0334,78.91,76,64,5.99,broken clouds
113,Thinadhoo,MV,0.5333,72.9333,83.73,71,97,16.73,overcast clouds
114,Algiers,DZ,36.7525,3.042,64.22,88,28,3.44,scattered clouds
115,Hasaki,JP,35.7333,140.8333,57.6,80,100,16.17,moderate rain
116,Koumac,NC,-20.5667,164.2833,77.05,67,39,3.74,scattered clouds
117,Ponta Do Sol,PT,32.6667,-17.1,68.72,81,7,5.03,clear sky
118,Havelock,US,34.8791,-76.9013,78.94,78,90,10.0,overcast clouds
119,Barrow,US,71.2906,-156.7887,33.82,75,0,9.22,clear sky
120,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,52,10.92,light rain
121,Hilo,US,19.7297,-155.09,85.28,71,40,14.97,scattered clouds
122,Airai,TL,-8.9266,125.4092,58.82,91,20,1.54,few clouds
123,Jumla,NP,29.2747,82.1838,53.55,78,3,5.64,clear sky
124,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,15.68,moderate rain
125,San Ignacio,BZ,17.1561,-89.0714,98.74,34,0,4.61,clear sky
126,Bodden Town,KY,19.2833,-81.25,84.0,67,75,12.66,broken clouds
127,Homewood,US,33.4718,-86.8008,82.08,55,75,6.91,broken clouds
128,Tra Vinh,VN,9.9347,106.3453,79.36,90,100,4.21,overcast clouds
129,Balabac,PH,7.9868,117.0645,81.18,80,77,0.83,broken clouds
130,Santa Cruz,BO,-17.8,-63.1667,71.65,60,75,14.97,broken clouds
131,Kondinskoye,RU,59.6481,67.41,47.57,85,50,6.93,scattered clouds
132,Olinda,BR,-8.0089,-34.8553,82.13,78,75,8.05,broken clouds
133,Hithadhoo,MV,-0.6,73.0833,82.96,75,87,12.77,overcast clouds
134,Adrar,MR,20.5022,-10.0711,90.32,11,72,10.42,broken clouds
135,Poya,NC,-21.35,165.15,76.26,70,66,3.89,broken clouds
136,Chokurdakh,RU,70.6333,147.9167,18.21,88,99,9.26,overcast clouds
137,Saldanha,ZA,-33.0117,17.9442,61.36,53,0,9.15,clear sky
138,Nianzishan,CN,47.5167,122.8833,50.47,33,29,5.44,scattered clouds
139,Pisco,PE,-13.7,-76.2167,64.45,82,8,9.22,mist
140,Saint-Augustin,CA,51.226,-58.6502,43.43,52,67,10.69,broken clouds
141,Isangel,VU,-19.55,169.2667,77.9,72,39,13.47,scattered clouds
142,Zhangye,CN,38.9342,100.4517,49.75,19,24,7.02,few clouds
143,Carnarvon,AU,-24.8667,113.6333,65.39,42,0,11.83,clear sky
144,Aasiaat,GL,68.7098,-52.8699,22.37,77,8,5.59,clear sky
145,Odweyne,SO,9.4092,45.064,77.5,48,1,11.34,clear sky
146,Bethel,US,41.3712,-73.414,78.89,68,0,13.8,clear sky
147,Gravelbourg,CA,49.8834,-106.5512,66.47,30,52,11.03,broken clouds
148,Georgetown,MY,5.4112,100.3354,80.53,89,40,6.91,scattered clouds
149,Harrismith,ZA,-28.2728,29.1295,45.97,94,0,2.24,clear sky
150,Iquique,CL,-20.2208,-70.1431,62.64,74,69,5.57,broken clouds
151,Caravelas,BR,-17.7125,-39.2481,75.29,71,97,5.59,overcast clouds
152,Bowmore,US,34.9421,-79.3031,85.62,57,40,0.0,scattered clouds
153,Tigil,RU,57.8,158.6667,46.0,70,100,6.76,overcast clouds
154,Hermagor,AT,46.6272,13.3672,57.38,95,87,2.24,overcast clouds
155,South Elgin,US,41.9942,-88.2923,68.67,64,100,6.91,overcast clouds
156,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,0,10.36,clear sky
157,Muli,MV,2.9167,73.5667,83.55,76,82,19.28,broken clouds
158,Evans,US,33.5337,-82.1307,89.8,46,40,8.05,scattered clouds
159,Pangnirtung,CA,66.1451,-65.7125,24.17,93,48,1.16,scattered clouds
160,Lebu,CL,-37.6167,-73.65,54.66,63,100,3.98,overcast clouds
161,San Andres Del Rabanedo,ES,42.6117,-5.6167,54.32,82,0,3.44,clear sky
162,Berlevag,NO,70.8578,29.0864,37.4,81,100,9.22,overcast clouds
163,Kamenka,RU,51.3223,42.7678,45.21,96,40,9.28,scattered clouds
164,Tutoia,BR,-2.7619,-42.2744,78.66,90,67,8.9,broken clouds
165,Talnakh,RU,69.4865,88.3972,36.01,93,100,9.64,overcast clouds
166,Piacabucu,BR,-10.4056,-36.4344,77.81,82,66,6.89,broken clouds
167,Plaster Rock,CA,46.9065,-67.39,55.92,68,100,9.75,overcast clouds
168,Tautira,PF,-17.7333,-149.15,80.55,75,68,14.97,light rain
169,Fatehpur,IN,25.9333,80.8,91.24,19,9,8.32,clear sky
170,Norman Wells,CA,65.282,-126.8329,55.44,44,75,19.57,broken clouds
171,Alice Springs,AU,-23.7,133.8833,56.75,67,40,0.0,scattered clouds
172,Meulaboh,ID,4.1363,96.1285,75.61,88,99,3.98,overcast clouds
173,Muravlenko,RU,63.7898,74.523,49.8,72,95,8.41,overcast clouds
174,Moshenskoye,RU,58.5102,34.5911,39.51,96,95,6.02,overcast clouds
175,Guadalupe Y Calvo,MX,26.1,-106.9667,77.74,23,91,5.06,overcast clouds
176,Slave Lake,CA,55.2834,-114.769,57.18,41,0,8.05,clear sky
177,Payo,ID,-3.7508,103.6372,72.46,95,78,2.1,broken clouds
178,Harper,LR,4.375,-7.7169,79.23,87,100,7.56,light rain
179,Fort Frances,CA,48.5999,-93.4003,61.02,41,100,10.36,overcast clouds
180,Souillac,MU,-20.5167,57.5167,75.58,83,40,11.5,light rain
181,Maniwaki,CA,46.3834,-75.966,66.58,88,100,4.61,heavy intensity rain
182,Prince Rupert,CA,54.3161,-130.3201,48.29,84,100,20.71,light rain
183,Puro,PH,12.4841,123.3827,81.12,77,100,4.88,overcast clouds
184,Castro,BR,-24.7911,-50.0119,54.9,97,19,4.21,few clouds
185,Tadine,NC,-21.55,167.8833,75.94,64,64,13.51,broken clouds
186,Erattupetta,IN,9.7,76.7833,75.11,99,100,0.85,light rain
187,Samfya,ZM,-11.3649,29.5565,58.82,74,2,6.6,clear sky
188,Golaghat,IN,26.5167,93.9667,72.34,98,100,3.02,moderate rain
189,Buin,CL,-33.7333,-70.75,73.72,28,96,2.21,overcast clouds
190,Nemuro,JP,43.3236,145.575,45.45,82,0,11.79,clear sky
191,San Isidro,PE,-12.1167,-77.05,64.51,54,0,10.36,clear sky
192,Yablonovo,RU,50.8523,37.3574,45.7,93,80,10.27,broken clouds
193,Massakory,TD,12.996,15.7293,90.55,16,21,9.93,few clouds
194,Florianopolis,BR,-27.6146,-48.5012,67.23,83,75,3.44,broken clouds
195,Martapura,ID,-3.4167,114.85,75.29,100,100,2.3,overcast clouds
196,Puksoozero,RU,62.5903,40.6066,42.98,98,55,6.35,broken clouds
197,Solnechnyy,RU,50.7214,136.6319,42.44,75,100,4.99,overcast clouds
198,Isparta,TR,38.0,31.0,53.01,72,22,4.83,few clouds
199,Hirara,JP,24.8,125.2833,68.27,94,75,16.11,broken clouds
200,Gadwal,IN,16.2333,77.8,86.85,56,69,7.9,broken clouds
201,Alakurtti,RU,66.9672,30.3491,42.37,91,86,1.61,overcast clouds
202,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,81,100,8.05,overcast clouds
203,Noyabrsk,RU,63.1994,75.4507,49.48,76,87,10.54,overcast clouds
204,Bubaque,GW,11.2833,-15.8333,79.47,83,65,17.38,broken clouds
205,Reyes,BO,-14.3167,-67.3833,69.49,96,95,5.53,overcast clouds
206,Ancud,CL,-41.8697,-73.8203,48.16,76,100,8.41,overcast clouds
207,Manuk Mangkaw,PH,4.8,119.85,82.53,76,61,3.62,broken clouds
208,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,39.12,light rain
209,Fairbanks,US,64.8378,-147.7164,51.76,44,75,4.61,broken clouds
210,Yagodnoye,RU,62.55,149.6667,31.8,95,100,2.17,overcast clouds
211,Mar Del Plata,AR,-38.0023,-57.5575,51.94,87,75,11.5,broken clouds
212,Lensk,RU,60.7253,114.9278,43.93,94,100,6.44,overcast clouds
213,Singaparna,ID,-7.3515,108.111,71.76,97,66,2.01,broken clouds
214,Umea,SE,63.8284,20.2597,44.53,61,0,14.97,clear sky
215,Cervo,ES,43.6702,-7.4101,64.96,66,100,6.55,overcast clouds
216,Nuqui,CO,5.7125,-77.2708,82.02,81,97,7.65,overcast clouds
217,Phalodi,IN,27.1333,72.3667,82.38,43,0,19.69,clear sky
218,Conde,BR,-7.2597,-34.9075,76.46,100,75,4.61,broken clouds
219,Burnie,AU,-41.0667,145.9167,51.93,82,78,18.03,broken clouds
220,Leshukonskoye,RU,64.8989,45.7622,39.29,86,100,7.27,overcast clouds
221,La Rioja,ES,42.25,-2.5,55.18,67,77,6.55,broken clouds
222,Acarau,BR,-2.8856,-40.12,78.76,87,86,11.03,overcast clouds
223,Kudahuvadhoo,MV,2.6708,72.8944,83.59,75,93,18.59,overcast clouds
224,Chapais,CA,49.7834,-74.8492,60.58,76,100,1.1,overcast clouds
225,Punta Alta,AR,-38.8759,-62.0736,53.08,77,95,20.24,overcast clouds
226,East London,ZA,-33.0153,27.9116,62.38,85,0,9.22,clear sky
227,Narsaq,GL,60.9167,-46.05,43.02,68,28,3.87,scattered clouds
228,Solhan,TR,38.9634,41.0293,47.16,95,100,4.74,light rain
229,Barra Do Garcas,BR,-15.89,-52.2567,79.32,51,46,2.91,scattered clouds
