City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
186,Erattupetta,IN,75.11,light rain,9.7,76.7833,White Castle Residency
195,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
200,Gadwal,IN,86.85,broken clouds,16.2333,77.8,MS RESIDENCY
204,Bubaque,GW,79.47,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
216,Nuqui,CO,82.02,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
217,Phalodi,IN,82.38,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
218,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
222,Acarau,BR,78.76,overcast clouds,-2.8856,-40.12,castelo pizzaria
223,Kudahuvadhoo,MV,83.59,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
229,Barra Do Garcas,BR,79.32,scattered clouds,-15.89,-52.2567,Pousada Tropical
230,Pushkar,IN,85.35,clear sky,26.5,74.55,Orchard - Tents and Tranquility
231,Gorontalo,ID,77.14,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
238,Istmina,CO,79.02,broken clouds,5.1605,-76.684,Hotel La Gran Estación Istmina
245,Safaga,EG,82.22,scattered clouds,26.7292,33.9365,Lamar Resort Abu Soma
251,Port Blair,IN,82.29,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
253,Herbertpur,IN,82.27,scattered clouds,30.45,77.7333,Hotel Shaurya
257,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
263,Arlit,NE,86.67,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
265,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
267,Grand-Santi,GF,76.39,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
268,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
269,Namatanai,PG,81.79,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
270,Kant,IN,88.79,few clouds,27.8,79.8,Haseeb Khan shatreng
272,Suleja,NG,81.75,broken clouds,9.1758,7.1808,Capy Motel
273,Bougouni,ML,86.72,broken clouds,11.417,-7.479,Non Stop
274,Palmer,US,79.41,broken clouds,42.1584,-72.3287,Wedgewood Motel
280,Kavali,IN,83.44,scattered clouds,14.9167,79.9833,Hotel Mourya Paradise
281,Biltine,TD,83.7,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
282,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
284,Alenquer,BR,76.73,broken clouds,-1.9417,-54.7383,Detinha Hotel
287,Morondava,MG,78.82,overcast clouds,-20.2833,44.2833,La Case Bambou
288,Bandarbeyla,SO,81.55,few clouds,9.4942,50.8122,JABIR HOTEL
292,Tandalti,SD,86.92,overcast clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
293,Ixtapa,MX,81.63,clear sky,20.7,-105.2,hotel la terminal
294,Shelburne,CA,75.99,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
300,Tual,ID,82.44,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
304,Akyab,MM,83.55,broken clouds,20.15,92.9,Hotel Memory
306,Qom,IR,75.02,clear sky,34.6401,50.8764,Qom Hotel
307,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
309,Faanui,PF,80.13,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
310,Marsh Harbour,BS,80.17,clear sky,26.5412,-77.0636,Abaco Beach Resort
312,Morada Nova,BR,77.47,broken clouds,-5.1067,-38.3725,PIZZARIA MARIANA
316,Labuhan,ID,77.7,scattered clouds,-6.8844,112.2051,DoubleFAG
324,Aswan,EG,86.7,scattered clouds,24.0934,32.907,Nuba Nile
326,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
330,Paracuru,BR,81.1,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
331,Hobyo,SO,80.06,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
335,Rock Sound,BS,80.1,light rain,24.9,-76.2,Pink Corral Bay Property
337,Wanning,CN,76.57,overcast clouds,18.8003,110.3967,Paradise Hotel
341,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
351,Bhiwandi,IN,84.06,few clouds,19.3,73.0667,OYO 7136 Solitaire Residency
355,Gizo,SB,82.81,clear sky,-8.103,156.8419,Imagination Island
356,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
360,Mana,GF,79.11,light rain,5.6592,-53.7767,LE SAMANA
